S.N,BUSINESS_DATE,SECURITY_ID,SYMBOL,SECURITY_NAME,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE,PREVIOUS_DAY_CLOSE_PRICE,FIFTY_TWO_WEEKS_HIGH,FIFTY_TWO_WEEKS_LOW,LAST_UPDATED_TIME,LAST_UPDATED_PRICE,TOTAL_TRADES,AVERAGE_TRADED_PRICE,MARKET_CAPITALIZATION
102,2023-03-20,2932,MFLD85,9.5% Manjushree Finance Limited Debenture 2085,836.0000,838.0000,836.0000,838.0000,100,83777.5000,834.0000,940.0000,805.1000,2023-03-20T13:07:45.496517,838.0000,3,837.77,
103,2023-03-20,8027,NBLD85,Nabil Debenture 2085,775.0000,775.0000,775.0000,775.0000,25,19375.0000,770.0000,854.0000,730.0000,2023-03-20T11:57:46.557011,775.0000,1,775.00,
104,2023-03-20,8041,NESDO,NESDO Sambridha Laghubitta Bittiya Sanstha Limited,2423.0000,2423.0000,2340.0000,2359.0000,1854,4373074.0000,2389.9000,3759.0000,747.7000,2023-03-20T14:59:57.844808,2359.0000,88,2358.72,6015.45
105,2023-03-20,8073,NICFC,NIC Asia Flexi CAP Fund,7.6600,7.8800,7.6600,7.8000,2900,22567.0000,7.6800,10.0000,7.3000,2023-03-20T14:48:30.903046,7.8000,19,7.78,
106,2023-03-20,8075,BHDC,Bindhyabasini Hydropower Development Company Limited,432.0000,463.0000,432.0000,461.0000,15070,6839389.6000,440.0000,520.0000,310.0000,2023-03-20T14:59:36.085817,461.0000,257,453.84,4840.50
107,2023-03-20,8100,SGHC,Swet-Ganga Hydropower & Construction Limited ,381.7000,396.0000,381.7000,395.0000,9716,3785308.0000,389.0000,411.6000,202.1000,2023-03-20T14:59:41.104999,395.0000,285,389.59,6292.35
108,2023-03-20,8102,MHL,Mandakini Hydropower Limited,380.0000,389.9000,380.0000,389.9000,971,372962.4000,386.5000,436.0000,237.3000,2023-03-20T14:58:30.266329,389.9000,72,384.10,2292.76
109,2023-03-20,140,MBL,Machhapuchhre Bank Limited,227.0000,227.0000,223.2000,224.0000,25501,5726823.7000,224.0000,305.0000,199.0000,2023-03-20T14:59:55.339337,224.0000,96,224.57,22976.03
110,2023-03-20,145,SBL,Siddhartha Bank Limited,261.0000,262.0000,254.8000,255.0000,50613,13019710.9000,261.0000,414.8000,254.8000,2023-03-20T14:59:57.738303,255.0000,286,257.24,35929.45
111,2023-03-20,187,NLIC,Nepal Life Insurance Co. Ltd.,652.0000,665.0000,650.0000,660.0000,45746,30055129.6000,652.0000,1179.0000,570.0000,2023-03-20T14:59:35.608034,660.0000,302,657.00,54172.58
112,2023-03-20,227,BFC,Best Finance Company Ltd.,331.5000,332.5000,326.0000,332.0000,4145,1370071.0000,326.0000,476.9000,292.5000,2023-03-20T14:59:22.586055,332.0000,33,330.53,2751.99
113,2023-03-20,232,GFCL,Goodwill Finance Limited,458.0000,469.0000,455.0000,469.0000,5199,2396833.5000,455.0000,634.0000,358.0000,2023-03-20T14:59:06.590463,469.0000,40,461.01,4437.28
114,2023-03-20,268,SWBBL,Swabalamban Laghubitta Bittiya Sanstha Limited,780.1000,810.0000,779.1000,795.2000,990,793440.5000,795.0000,1407.0000,779.1000,2023-03-20T14:59:59.119694,795.2000,29,801.45,10262.02
115,2023-03-20,274,EDBL,Excel Development Bank Ltd.,317.5000,322.0000,314.1000,322.0000,4032,1290137.9000,315.9000,495.0000,291.2000,2023-03-20T14:59:45.710348,322.0000,55,319.97,4024.02
116,2023-03-20,371,MDB,Miteri Development Bank Limited,367.0000,368.0000,363.1000,367.8000,2310,846442.0000,361.0000,525.0000,308.0000,2023-03-20T14:58:57.736359,367.8000,24,366.42,3733.18
117,2023-03-20,396,NLBBL,Nerude Laghubitta Bittiya Sanstha Limited,604.0000,604.0000,588.0000,595.0000,1789,1061345.0000,596.0000,1129.0000,588.0000,2023-03-20T14:59:04.972999,595.0000,29,593.26,4355.40
118,2023-03-20,447,GLICL,Gurans Life Insurance Company Ltd.,404.0000,411.5000,398.4000,411.5000,21014,8461589.7000,403.9000,721.0000,394.1000,2023-03-20T14:59:54.172362,411.5000,87,402.66,9215.01
119,2023-03-20,469,NIMBPO,Nepal Investment Mega Bank Ltd. Promoter Share,107.1000,111.3000,107.1000,111.3000,30,3276.0000,105.0000,403.0000,107.1000,2023-03-20T14:58:41.360525,111.3000,3,109.20,
120,2023-03-20,474,MNBBL,Muktinath Bikas Bank Ltd.,390.0000,395.0000,386.3000,395.0000,18355,7155429.3000,387.0000,525.0000,368.0000,2023-03-20T14:59:22.397742,395.0000,175,389.83,25362.56
121,2023-03-20,587,RLFL,Reliance Finance Ltd.,300.0000,308.9000,300.0000,308.0000,5658,1735869.1000,301.0000,451.0000,222.2000,2023-03-20T14:59:58.846390,308.0000,45,306.79,3243.26
122,2023-03-20,686,BARUN,Barun Hydropower Co. Ltd.,260.0000,272.0000,260.0000,271.0000,18306,4868902.5000,263.0000,541.6000,190.3000,2023-03-20T14:59:50.425524,271.0000,107,265.97,1452.06
123,2023-03-20,2893,AIL,Ajod Insurance Limited,461.0000,470.0000,455.1000,465.0000,2831,1311758.5000,453.0000,768.9000,344.0000,2023-03-20T14:58:17.558084,465.0000,64,463.35,4650.00
124,2023-03-20,8022,TPC,Terhathum Power Company Limited,428.8000,450.0000,428.8000,433.3000,882,383510.5000,437.3000,667.0000,303.9000,2023-03-20T14:59:58.193329,433.3000,35,434.81,1733.20
125,2023-03-20,8121,SPHL,Sayapatri Hydropower Limited,459.0000,463.5000,451.0000,460.0000,3323,1519324.0000,458.0000,520.2000,194.8000,2023-03-20T14:59:17.153601,460.0000,67,457.21,414.00
126,2023-03-20,137,EBL,Everest Bank Limited,505.0000,510.0000,505.0000,506.0000,20767,10528556.9000,505.0000,558.9000,411.0000,2023-03-20T14:59:10.513639,506.0000,125,506.98,54132.36
127,2023-03-20,148,TRH,Taragaon Regency Hotel Limited,470.0000,479.4000,467.1000,476.0000,6599,3120342.6000,463.0000,507.0000,302.1000,2023-03-20T14:59:59.122968,476.0000,49,472.85,8980.47
128,2023-03-20,163,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,600.0000,600.0000,590.0000,594.0000,13725,8153457.5000,596.8000,1179.0000,588.0000,2023-03-20T14:59:32.179788,594.0000,171,594.05,15515.75
129,2023-03-20,357,PCBL,Prime Commercial Bank Ltd.,200.0000,203.8000,200.0000,202.6000,15898,3207560.1000,201.9000,327.0000,198.5000,2023-03-20T14:59:58.383562,202.6000,174,201.75,39309.62
130,2023-03-20,397,ADBL,Agricultural Development Bank Limited,258.2000,262.8000,256.1000,258.0000,13799,3565015.9000,258.2000,405.9000,256.1000,2023-03-20T14:59:54.768711,258.0000,175,258.35,34705.32
131,2023-03-20,417,GBBL,Garima Bikas Bank Limited,355.0000,362.0000,355.0000,362.0000,4998,1798506.2000,355.0000,490.0000,318.0000,2023-03-20T14:59:47.252771,362.0000,70,359.84,18734.51
132,2023-03-20,516,MFIL,Manjushree Finance Ltd.,448.0000,454.0000,445.1000,452.8000,12092,5454501.5000,444.8000,659.0000,362.0000,2023-03-20T14:59:51.277325,452.8000,98,451.08,6119.83
133,2023-03-20,559,NLG,NLG Insurance Company Ltd.,649.1000,684.0000,649.0000,672.8000,4591,3075636.0000,660.1000,928.0000,423.0000,2023-03-20T14:59:27.936719,672.8000,36,669.92,8925.46
